time_epoch,temp_c,wind_kph,wind_degree,pressure_mb,precip_mm,snow_cm,avghumidity,gust_kph,wind_dir
1729483200,13.4,14.4,246.0,1021.0,0.0,0.0,0.0,27.4,WSW
1729486800,12.9,15.5,247.0,1020.0,0.0,0.0,0.0,28.9,WSW
1729490400,13.6,16.6,244.0,1020.0,0.0,0.0,0.0,29.6,WSW
1729494000,13.5,16.6,247.0,1020.0,0.0,0.0,0.0,29.3,WSW
1729497600,13.5,16.6,247.0,1020.0,0.0,0.0,0.0,29.6,WSW
1729501200,13.1,16.2,246.0,1020.0,0.0,0.0,0.0,29.1,WSW
1729504800,11.6,11.3,250.0,1020.0,0.0,0.0,0.0,22.3,WSW
1729508400,11.5,14.4,256.0,1020.0,0.0,0.0,0.0,17.8,WSW
1729512000,13.2,11.2,253.0,1020.0,0.0,0.0,0.0,16.6,WSW
1729515600,14.9,10.4,250.0,1021.0,0.0,0.0,0.0,17.5,WSW
1729519200,16.7,12.6,258.0,1021.0,0.0,0.0,0.0,16.7,WSW
1729522800,18.9,12.2,262.0,1021.0,0.0,0.0,0.0,15.1,W
1729526400,20.6,11.9,259.0,1020.0,0.0,0.0,0.0,14.2,W
1729530000,22.1,12.6,260.0,1020.0,0.0,0.0,0.0,15.0,W
1729533600,23.0,12.6,263.0,1020.0,0.0,0.0,0.0,15.3,W
1729537200,23.6,12.2,265.0,1019.0,0.0,0.0,0.0,15.5,W
1729540800,23.9,12.6,268.0,1019.0,0.0,0.0,0.0,17.4,W
1729544400,22.8,9.7,267.0,1019.0,0.0,0.0,0.0,16.2,W
1729548000,21.6,6.5,278.0,1020.0,0.0,0.0,0.0,12.6,W
1729551600,20.4,6.5,298.0,1020.0,0.0,0.0,0.0,12.6,WNW
1729555200,19.2,7.2,307.0,1021.0,0.0,0.0,0.0,13.8,NW
1729558800,18.3,5.4,302.0,1021.0,0.0,0.0,0.0,15.5,WNW
1729562400,16.0,4.3,284.0,1021.0,0.0,0.0,0.0,14.1,WNW
1729566000,15.8,4.3,254.0,1021.0,0.0,0.0,0.0,9.1,WSW
1729569600,14.5,7.2,284.0,1021.0,0.0,0.0,0.0,15.1,WNW
1729573200,13.8,6.1,278.0,1021.0,0.0,0.0,0.0,12.9,W
1729576800,13.4,5.4,272.0,1021.0,0.0,0.0,0.0,11.3,W
1729580400,14.0,4.0,252.0,1021.0,0.0,0.0,0.0,8.3,WSW
1729584000,13.2,4.7,218.0,1021.0,0.0,0.0,0.0,9.8,SW
1729587600,12.6,5.0,203.0,1022.0,0.0,0.0,0.0,10.6,SSW
1729591200,11.0,5.8,201.0,1022.0,0.0,0.0,0.0,12.1,SSW
1729594800,11.5,6.8,202.0,1023.0,0.0,0.0,0.0,14.4,SSW
1729598400,11.4,7.2,206.0,1023.0,0.0,0.0,0.0,10.6,SSW
1729602000,12.2,7.6,207.0,1023.0,0.0,0.0,0.0,10.7,SSW
1729605600,14.5,10.1,212.0,1023.0,0.0,0.0,0.0,14.8,SSW
1729609200,17.3,11.5,207.0,1023.0,0.0,0.0,0.0,14.6,SSW
1729612800,19.1,13.7,203.0,1022.0,0.0,0.0,0.0,16.3,SSW
1729616400,20.0,14.4,204.0,1021.0,0.0,0.0,0.0,16.8,SSW
1729620000,20.6,14.4,204.0,1020.0,0.0,0.0,0.0,17.1,SSW
1729623600,20.8,15.5,196.0,1020.0,0.0,0.0,0.0,19.4,SSW
1729627200,20.5,16.2,194.0,1019.0,0.0,0.0,0.0,21.5,SSW
1729630800,19.3,13.7,188.0,1019.0,0.0,0.0,0.0,22.0,S
1729634400,17.9,12.6,182.0,1019.0,0.0,0.0,0.0,21.1,S
1729638000,16.7,11.9,182.0,1019.0,0.0,0.0,0.0,19.1,S
1729641600,15.8,11.5,184.0,1018.0,0.0,0.0,0.0,18.9,S
